Scenario,Response,Mean,Median,Minimum,Maximum,HalfWidth,Mean Confidence Interval Start,Mean Confidence Interval End,Upper Percentile,Upper Percentile Confidence Interval Start,Upper Percentile Confidence Interval End,Lower Percentile,Lower Percentile Confidence Interval Start,Lower Percentile Confidence Interval End
021,MorningUtilization,0.140833744323082,0.140874486717008,0.137007989940948,0.143645511956583,0.00256470648018142,0.138269037842901,0.143398450803264,0.143261000966147,NaN,NaN,0.13968214304735,NaN,NaN
021,AvgPassTime,0.500475187074285,0.500478658573276,0.500467771745028,0.500479971487909,5.99552368774113E-06,0.500469191550597,0.500481182597972,0.500479146374379,NaN,NaN,0.500467990281197,NaN,NaN
022,OffUtilization,0.577646266731591,0.57743792279379,0.569843184411642,0.583489023169988,0.00548554566439231,0.572160721067198,0.583131812395983,0.583483582674114,NaN,NaN,0.575221428525228,NaN,NaN
022,EveningUtilization,0.347015404566757,0.347365897107341,0.337711209167251,0.355679084950923,0.00614234027332562,0.340873064293431,0.353157744840082,0.349301260129369,NaN,NaN,0.344953321346861,NaN,NaN
022,MorningUtilization,0.138117565314751,0.137466330333533,0.13078349973233,0.147136584814456,0.00580287332988323,0.132314691984868,0.143920438644634,0.140851147758113,NaN,NaN,0.135071152049584,NaN,NaN
022,AvgPassTime,0.500584511445797,0.500585477458828,0.500576727273122,0.500589758705663,5.40284202041226E-06,0.500579108603777,0.500589914287818,0.500589451061681,NaN,NaN,0.50058024355698,NaN,NaN
023,OffUtilization,0.570024299382232,0.572719136134101,0.556116870816401,0.585821024626778,0.0122146161662877,0.557809683215944,0.58223891554852,0.577535911798125,NaN,NaN,0.556999886433299,NaN,NaN
023,EveningUtilization,0.345225142490083,0.346424668811106,0.339063942475335,0.349371349182363,0.00376020699512366,0.34146493549496,0.348985349485207,0.347093682572675,NaN,NaN,0.34336912041619,NaN,NaN
023,MorningUtilization,0.143267554068241,0.143633822948025,0.138172923541088,0.147657191411679,0.00319718192301583,0.140070372145225,0.146464735991257,0.144194266485501,NaN,NaN,0.142935221496819,NaN,NaN
023,AvgPassTime,0.50035827982749,0.500360991114624,0.500352532902734,0.500362447115984,4.31382475450788E-06,0.500353966002736,0.500362593652245,0.500362064439526,NaN,NaN,0.500355430780711,NaN,NaN
024,OffUtilization,0.569222751484385,0.57284742911319,0.559537880194365,0.579647612074941,0.00775518784136442,0.561467563643021,0.576977939325749,0.573223272215457,NaN,NaN,0.56325737438398,NaN,NaN
024,EveningUtilization,0.346182358488524,0.347509408645572,0.339803567371906,0.355229444161307,0.00697106898712364,0.3392112895014,0.353153427475647,0.35252646444993,NaN,NaN,0.339882396161014,NaN,NaN
024,MorningUtilization,0.139729749275927,0.141264297072693,0.130706633747735,0.144146602681711,0.0048912621180288,0.134838487157898,0.144621011393956,0.141918174044137,NaN,NaN,0.139923465990666,NaN,NaN
024,AvgPassTime,0.500456772779846,0.500462556660742,0.500443735413761,0.500465299321566,9.19776926639468E-06,0.500447575010579,0.500465970549112,0.500464729405901,NaN,NaN,0.500451176342286,NaN,NaN
025,OffUtilization,0.568814942012923,0.571680284942896,0.560501742462804,0.576472871501282,0.00611980752128971,0.562695134491634,0.574934749534213,0.572653567506258,NaN,NaN,0.565088387998667,NaN,NaN
025,EveningUtilization,0.351070241538718,0.35089291881676,0.342546832908203,0.361931657021396,0.00829303486331996,0.342777206675398,0.359363276402038,0.358675496708397,NaN,NaN,0.343362454672903,NaN,NaN
025,MorningUtilization,0.138183595392331,0.14265371902828,0.129239424427569,0.145762359539989,0.00699087327316353,0.131192722119168,0.145174468665495,0.143466697389681,NaN,NaN,0.13318264746514,NaN,NaN
025,AvgPassTime,0.500383915925582,0.500386496414608,0.500377468042502,0.500389865949356,5.82108606783327E-06,0.500378094839514,0.50038973701165,0.500389622651182,NaN,NaN,0.500378117527107,NaN,NaN
026,OffUtilization,0.570088020901845,0.574067785038669,0.561124177328725,0.579403205734027,0.00788618039074947,0.562201840511095,0.577974201292594,0.575005824392515,NaN,NaN,0.561442177756232,NaN,NaN
026,EveningUtilization,0.351450544014697,0.355045380868223,0.342036488860403,0.365103417875896,0.00929978363643779,0.342150760378259,0.360750327651134,0.355401180068178,NaN,NaN,0.342433469129035,NaN,NaN
026,MorningUtilization,0.135132378976253,0.136096587485137,0.130460702542438,0.140318108728548,0.00428524224128181,0.130847136734971,0.139417621217535,0.139305648450851,NaN,NaN,0.131912517706519,NaN,NaN
026,AvgPassTime,0.500438875864511,0.500441306057956,0.500433874563111,0.500442979592105,4.38184264953108E-06,0.500434494021862,0.500443257707161,0.500442690342711,NaN,NaN,0.500433906970158,NaN,NaN
027,OffUtilization,0.572611748853869,0.574717929902069,0.560173308166577,0.582602169833023,0.0092166084175342,0.563395140436334,0.581828357271403,0.58176952482441,NaN,NaN,0.566816965770517,NaN,NaN
027,EveningUtilization,0.348168817377777,0.349942820936074,0.340123491898127,0.354910170978313,0.00630572839935263,0.341863088978424,0.354474545777129,0.35468720562099,NaN,NaN,0.344332422699952,NaN,NaN
027,MorningUtilization,0.139925811257065,0.13978721449534,0.13098853234593,0.147794160690185,0.00635896584368542,0.13356684541338,0.146284777100751,0.145122866597632,NaN,NaN,0.136093904439808,NaN,NaN
027,AvgPassTime,0.500463761569271,0.500464388494323,0.500455278219239,0.500472589207322,6.21156028653328E-06,0.500457550008984,0.500469973129557,0.50046739029391,NaN,NaN,0.500460727353518,NaN,NaN
028,OffUtilization,0.577819532577557,0.578967371649129,0.568814481530505,0.585353238522271,0.0063634257506119,0.571456106826945,0.584182958328169,0.583225522374009,NaN,NaN,0.574165951939193,NaN,NaN
028,EveningUtilization,0.348530773141142,0.347852747797421,0.344606384944114,0.353159117419329,0.00323420480612651,0.345296568335015,0.351764977947268,0.351060094562249,NaN,NaN,0.346738675783021,NaN,NaN
028,MorningUtilization,0.138117565314751,0.137466330333533,0.13078349973233,0.147136584814456,0.00580287332988323,0.132314691984868,0.143920438644634,0.140851147758113,NaN,NaN,0.135071152049584,NaN,NaN
028,AvgPassTime,0.500687971489274,0.50068763828454,0.500685047865114,0.500691450995456,2.63457559770469E-06,0.500685336913676,0.500690606064872,0.500690403990798,NaN,NaN,0.500685839411134,NaN,NaN
029,OffUtilization,0.574199368067064,0.57635219512921,0.544850281561986,0.604312899066658,0.0208131788655628,0.553386189201502,0.595012546932627,0.584292556994198,NaN,NaN,0.565862420191715,NaN,NaN
029,EveningUtilization,0.347798499042564,0.347623810955447,0.339846658714558,0.355880637216538,0.00536884998944592,0.342429649053118,0.35316734903201,0.349023726864396,NaN,NaN,0.347066578388179,NaN,NaN
